              Procedure           Image            Address        Calls Instructions
                  _Exit       libc.so.6       7f7cdb4fbdd0            1            8
       __call_tls_dtors       libc.so.6       7f7cdb45a870            1           11
         __cxa_finalize       libc.so.6       7f7cdb45a520            1           58
           __cxa_atexit       libc.so.6       7f7cdb45a430            1           36
                   exit       libc.so.6       7f7cdb45a120            1            5
                _setjmp       libc.so.6       7f7cdb455c10            1            2
            __sigsetjmp       libc.so.6       7f7cdb455b70            1           27
           __ctype_init       libc.so.6       7f7cdb4478f0            1           16
      __libc_start_main       libc.so.6       7f7cdb438ab0            1           55
                  _init       libc.so.6       7f7cdb438920            1           99
                  .text       libc.so.6       7f7cdb4382d0            0          247
                   @plt       libc.so.6       7f7cdb438270            1            1
    _dl_catch_exception ld-linux-x86-64.so.2       7f7ceefcbc10            2           62
                   free ld-linux-x86-64.so.2       7f7ceefcb620            2            8
                 calloc ld-linux-x86-64.so.2       7f7ceefcb5e0            9           72
                 malloc ld-linux-x86-64.so.2       7f7ceefcb4b0           23          445
      __tunable_get_val ld-linux-x86-64.so.2       7f7ceefc9250            6          106
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f7ceefc3160            1          104
        _dl_debug_state ld-linux-x86-64.so.2       7f7ceefc0da0            2            2
                  .text ld-linux-x86-64.so.2       7f7ceefb0f10            1         6747
               .plt.got ld-linux-x86-64.so.2       7f7ceefb0f00            2            2
             calloc@plt ld-linux-x86-64.so.2       7f7ceefb0ec0            9            9
             malloc@plt ld-linux-x86-64.so.2       7f7ceefb0ea0           23           23
_dl_catch_exception@plt ld-linux-x86-64.so.2       7f7ceefb0e90            2            2
                  _fini           a.out       555d08b7b784            1            3
        __libc_csu_init           a.out       555d08b7b710            1           34
                   main           a.out       555d08b7b6f9            1            7
               _Z4bar2v           a.out       555d08b7b6de            1            9
                _Z3barv           a.out       555d08b7b6c3            1            9
                _Z3fooi           a.out       555d08b7b66a            4          352
            frame_dummy           a.out       555d08b7b660            1            4
  __do_global_dtors_aux           a.out       555d08b7b620            1           12
     register_tm_clones           a.out       555d08b7b5d0            1           13
   deregister_tm_clones           a.out       555d08b7b590            1            8
                 _start           a.out       555d08b7b560            1           11
               .plt.got           a.out       555d08b7b550            1            1
                  _init           a.out       555d08b7b510            1            6
